Date,Value,rsi12,sma12
1881-01-01,18.473952301404942,NA,NA
1881-02-01,18.14725816499024,NA,NA
1881-03-01,18.270119140204997,NA,NA
1881-04-01,17.950108278222896,NA,NA
1881-05-01,18.869718693152603,NA,NA
1881-06-01,19.028710731115787,NA,NA
1881-07-01,18.11636718738975,NA,NA
1881-08-01,17.286243553973446,NA,NA
1881-09-01,16.724836648772904,NA,NA
1881-10-01,16.26198941118135,NA,NA
1881-11-01,16.478642316644873,NA,NA
1881-12-01,15.958754206105093,NA,NA
1882-01-01,15.67876416002875,25.182212123555306,NA
1882-02-01,15.15386152836305,22.857942697482798,NA
1882-03-01,15.091670299486754,22.588467800891706,NA
1882-04-01,14.916997168375303,21.800981953440726,NA
1882-05-01,14.567103202191769,20.257700823416425,NA
1882-06-01,14.327404890131676,19.23984193428981,NA
1882-07-01,15.24055976121783,33.19073845787205,NA
1882-08-01,15.525429331463036,36.90029880862217,NA
1882-09-01,16.081106624462315,43.568003208964484,NA
1882-10-01,15.755581030526564,40.81195098732899,NA
1882-11-01,15.192670313165346,36.46093636934899,NA
1882-12-01,15.382128332081976,38.854419090457725,30.1427911879726
1883-01-01,15.270259119098574,37.93396138874882,31.20543696007206
1883-02-01,14.757590146176229,33.91701486630332,32.12702630747377
1883-03-01,15.051254121401644,38.01842021424891,33.41285567525354
1883-04-01,15.48206722203668,43.61864357913697,35.230994144061555
1883-05-01,15.335497637337072,42.20339220702657,37.0598017593624
1883-06-01,15.9033883885838,49.17380539707574,39.55429871459456
1883-07-01,15.948783127017032,49.70277351160968,40.93030163573936
1883-08-01,15.19681087662986,41.8347761450805,41.34150808044423
1883-09-01,15.494692425793463,45.55903410109046,41.50742732145472
1883-10-01,15.048056270223844,41.2399351148299,41.543092665413134
1883-11-01,15.40821814244887,45.763133724092256,42.318275778308404
1883-12-01,14.896403941887172,40.88422876942328,42.487426584888865
1884-01-01,14.432821721970724,36.98778895020792,42.40857888167712
1884-02-01,14.805960228816716,41.853720074097666,43.06997098232665
1884-03-01,14.736023454014472,41.203147540591324,43.33536492618852
1884-04-01,14.35345368257948,37.70561842455643,42.842612829973476
1884-05-01,13.465050313804916,31.03241168937336,41.91169778683571
1884-06-01,12.906876483666869,27.675280053894667,40.120154008237286
1884-07-01,13.04393158599167,29.71207752728146,38.454262676209936
1884-08-01,13.85981334176933,40.579318342524004,38.34964119266356
1884-09-01,13.569154744335728,38.279221141744095,37.74299011271803
1884-10-01,13.273251319134156,36.012244664757254,37.30734924187864
1884-11-01,13.304437602119735,36.4449934651845,36.53083755363633
1884-12-01,13.432292746944764,38.31090291789834,36.31639373267592
1885-01-01,13.129817425635968,35.61251870906191,36.201787879247085
1885-02-01,13.38481759359797,39.52960623902799,36.008111726324614
1885-03-01,13.734194093452516,44.56983017810935,36.28866861278445
1885-04-01,13.548548541030058,42.51566468374874,36.68950580105047
1885-05-01,13.71137187256194,44.943523952511185,37.848765156311956
1885-06-01,13.978784368698356,48.81660600797853,39.61054231915228
1885-07-01,14.32665877708933,53.46261073406301,41.58975341971741
1885-08-01,15.130410796707157,62.12749482235913,43.38543479303701
1885-09-01,15.116285028724247,61.9065033230794,45.354374974814945
1885-10-01,15.991023962168985,69.28677154503225,48.12725221483786
1885-11-01,16.824034498619024,74.4327298750769,51.292896915662226
1885-12-01,16.304475952278533,66.81560210425823,53.66828851452555
1886-01-01,16.69231747079765,69.36833982044057,56.48127360714044
1886-02-01,17.006648259461,71.31902568962734,59.13039189469038
1886-03-01,16.843266101570133,68.83347422862879,61.15236223223367
1886-04-01,16.80171613124631,68.17431130973992,63.290582784399604
1886-05-01,16.863195515097832,68.65876968481278,65.2668532620914
1886-06-01,17.831494055376883,75.15647731700953,67.46184253784399
1886-07-01,17.845845041532208,75.23947481614549,69.27658121135086
1886-08-01,17.72391279961927,72.97962876605195,70.1809257066586
1886-09-01,18.14714392580003,75.7388817180474,71.33362390623927
1886-10-01,18.56238134286657,78.12928227582854,72.07049980047229
1886-11-01,18.968312634942823,80.20886057024843,72.55184402506991
1886-12-01,18.19405755688645,66.96078315989384,72.56394244637288
1887-01-01,17.51222209630495,57.790713237911746,71.59914023116215
1887-02-01,17.125366596972313,53.2749331145409,70.09546584990494
1887-03-01,17.47321371151375,56.601367556910226,69.07612362726172
1887-04-01,17.822983639100713,59.74499817842033,68.37368086631842
1887-05-01,18.075445427458245,61.91713334209896,67.81187783775894
1887-06-01,17.70769566327299,57.02728903174491,66.30111214732023
1887-07-01,17.431460535613077,53.561126252994804,64.494583100391
1887-08-01,16.73984961482071,45.93533950301355,62.24089232847113
1887-09-01,16.676629667380144,45.29229631091312,59.70367687787661
1887-10-01,15.88066681251732,37.98816233201919,56.358583549225834
1887-11-01,15.95071220106678,38.933576668061434,52.918976557376915
1887-12-01,15.45551345446995,34.83737310649814,50.24202571959394
1888-01-01,15.358662514259908,34.07252634922571,48.26551014553677
1888-02-01,15.418178318820534,35.02876692472103,46.74499629638512
1888-03-01,14.808972366946568,30.146146833979596,44.54039456947423
1888-04-01,15.02010868184446,33.643189627852124,42.36524385692688
1888-05-01,15.38791695722913,39.40785408484216,40.48947058548882
1888-06-01,15.077628818434691,36.49042883496052,38.77806556909012
1888-07-01,15.279642515498177,39.662954850682524,37.61988461889742
1888-08-01,15.602911670088805,44.50257069723872,37.50048721841619
1888-09-01,15.98782882176142,49.739156040429,37.87105886254251
1888-10-01,15.7159418743297,46.367822822274356,38.56936390339711
1888-11-01,15.22374901694628,40.89391514494308,38.73272544313725
